Date,360ONE.NS,ABB.NS,ABCAPITAL.NS,ADANIENSOL.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,ALKEM.NS,AMBER.NS,AMBUJACEM.NS,ANGELONE.NS,APLAPOLLO.NS,APOLLOHOSP.NS,ASHOKLEY.NS,ASIANPAINT.NS,ASTRAL.NS,AUBANK.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BAJFINANCE.NS,BANDHANBNK.NS,BANKBARODA.NS,BANKINDIA.NS,BDL.NS,BEL.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BIOCON.NS,BLUESTARCO.NS,BOSCHLTD.NS,BPCL.NS,BRITANNIA.NS,BSE.NS,CAMS.NS,CANBK.NS,CDSL.NS,CGPOWER.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COFORGE.NS,COLPAL.NS,CONCOR.NS,CROMPTON.NS,CUMMINSIND.NS,DABUR.NS,DALBHARAT.NS,DELHIVERY.NS,DIVISLAB.NS,DIXON.NS,DLF.NS,DMART.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,EXIDEIND.NS,FEDERALBNK.NS,FORTIS.NS,GAIL.NS,GLENMARK.NS,GMRAIRPORT.NS,GODREJCP.NS,GODREJPROP.NS,GRASIM.NS,HAL.NS,HAVELLS.NS,HCLTECH.NS,HDFCAMC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDPETRO.NS,HINDUNILVR.NS,HINDZINC.NS,HUDCO.NS,ICICIBANK.NS,ICICIGI.NS,ICICIPRULI.NS,IDEA.NS,IDFCFIRSTB.NS,IEX.NS,INDHOTEL.NS,INDIANB.NS,INDIGO.NS,INDUSINDBK.NS,INDUSTOWER.NS,INFY.NS,INOXWIND.NS,IOC.NS,IREDA.NS,IRFC.NS,ITC.NS,JINDALSTEL.NS,JIOFIN.NS,JSWENERGY.NS,JSWSTEEL.NS,JUBLFOOD.NS,KALYANKJIL.NS,KAYNES.NS,KEI.NS,KFINTECH.NS,KOTAKBANK.NS,KPITTECH.NS,LAURUSLABS.NS,LICHSGFIN.NS,LICI.NS,LODHA.NS,LT.NS,LTF.NS,LTM.NS,LUPIN.NS,M&M.NS,MANAPPURAM.NS,MANKIND.NS,MARICO.NS,MARUTI.NS,MAXHEALTH.NS,MAZDOCK.NS,MCX.NS,MFSL.NS,MOTHERSON.NS,MPHASIS.NS,MUTHOOTFIN.NS,NATIONALUM.NS,NAUKRI.NS,NBCC.NS,NESTLEIND.NS,NHPC.NS,NIFTYFINSERVICE,NMDC.NS,NTPC.NS,NUVAMA.NS,NYKAA.NS,OBEROIRLTY.NS,OFSS.NS,OIL.NS,ONGC.NS,PAGEIND.NS,PATANJALI.NS,PAYTM.NS,PERSISTENT.NS,PETRONET.NS,PFC.NS,PGEL.NS,PHOENIXLTD.NS,PIDILITIND.NS,PIIND.NS,PNB.NS,PNBHOUSING.NS,POLICYBZR.NS,POLYCAB.NS,POWERGRID.NS,POWERINDIA.NS,PPLPHARMA.NS,PREMIERENE.NS,PRESTIGE.NS,RBLBANK.NS,RECLTD.NS,RELIANCE.NS,RVNL.NS,SAIL.NS,SAMMAANCAP.NS,SBICARD.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SHRIRAMFIN.NS,SIEMENS.NS,SOLARINDS.NS,SONACOMS.NS,SRF.NS,SUNPHARMA.NS,SUPREMEIND.NS,SUZLON.NS,SWIGGY.NS,SYNGENE.NS,TATACONSUM.NS,TATAELXSI.NS,TATAPOWER.NS,TATASTEEL.NS,TATATECH.NS,TCS.NS,TECHM.NS,TIINDIA.NS,TITAN.NS,TMPV.NS,TORNTPHARM.NS,TORNTPOWER.NS,TRENT.NS,TVSMOTOR.NS,ULTRACEMCO.NS,UNIONBANK.NS,UNITDSPR.NS,UNOMINDA.NS,UPL.NS,VBL.NS,VEDL.NS,VOLTAS.NS,WAAREEENER.NS,WIPRO.NS,YESBANK.NS,ZYDUSLIFE.NS,^CNXAUTO,^CNXFMCG,^CNXIT,^CNXMEDIA,^CNXMETAL,^CNXPHARMA,^CNXPSUBANK,^CNXREALTY,^NSEBANK,^NSEI
2023-04-10,432.200012,3397.6499,159.75,,1797.25,899.150024,652.0,3372.55005,1892.34998,384.350006,122.080002,1186.94995,4237.0,69.0999985,2776.3501,1404.19995,564.5,540.75,847.349976,4061.6001,1305.05005,5912.0498,582.880005,210.050003,166.199997,75.4000015,488.524994,99.9000015,756.450012,769.75,71.3000031,215.5,710.325012,18542.8008,167.899994,4266.3999,152.53334,445.5,56.6599998,496.075012,288.049988,829.200012,901.849976,222.050003,812.26001,1536.84998,577.349976,299.049988,1579.19995,523.200012,1983.65002,327.950012,2909.6499,2977.05005,405.5,3450.69995,951.929993,2970.44995,53.9500008,181.449997,127.0,255.699997,105.949997,487.850006,43.5999985,965.549988,1228.34998,1703.47656,1408.09998,1169.75,1103.09998,875.25,829.224976,513.700012,2460.6499,411.450012,152.866669,2532.1499,312.799988,44.5499992,868.450012,1098.84998,433.0,6.1500001,54.0999985,152.5,328.0,282.149994,1902.09998,1069.30005,142.050003,1427.59998,24.75,77.8000031,,27.5499992,374.140717,549.5,,248.649994,688.5,425.5,104.0,939.549988,1709.94995,281.549988,351.859985,799.849976,304.149994,333.450012,549.299988,471.399994,2309.69995,87.4000015,,663.700012,1188.59998,128.149994,,480.5,8535.15039,440.700012,343.125,303.109985,627.200012,45.2999992,1811.69995,1027.94995,80.0999985,747.030029,24.8666668,976.51001,40.0499992,18390.6992,36.9500008,177.600006,,129.050003,906.950012,3303.8501,171.96666,157.149994,36622.6992,318.933319,656.5,2284.875,228.5,133.119995,143.384995,644.924988,1177.84998,3039.3501,47.0499992,450.25,589.599976,2975.0,171.787506,3161.55005,68.2616043,,445.75,143.899994,124.050003,1072.91785,74.3000031,82.4499969,90.4756546,739.5,1106.25,526.299988,26000.75,260.950012,1986.17151,3724.3501,418.75,2389.69995,1008.59998,2586.3999,8.05000019,,603.099976,720.650024,6201.1001,195.699997,104.949997,,3263.3999,1107.25,2575.94995,2583.69995,,1576.19995,520.0,1358.69995,1107.65002,7696.25,66.5999985,,502.950012,737.75,282.73999,269.899994,823.25,,186.649994,15.1999998,496.5,12616.75,45909.6484,29041.5996,1734.90002,5570.25,12298.75,3714.5,421.350006,40834.6484,17624.0508
2023-04-11,425.600006,3277.44995,157.600006,,1803.15002,944.099976,653.950012,3331.55005,1885.0,384.399994,122.875,1193.05005,4271.2998,68.7750015,2753.80005,1438.40002,576.200012,542.650024,853.299988,4177.3999,1323.19995,6030.1001,583.775024,209.949997,170.850006,76.75,495.825012,100.0,764.0,774.150024,71.9499969,216.0,710.825012,18604.75,169.550003,4277.3501,154.399994,438.23999,57.5800018,499.5,294.549988,840.849976,907.150024,223.649994,800.969971,1537.15002,591.849976,293.0,1577.40002,521.849976,2001.19995,331.049988,2927.3501,2968.6001,405.299988,3454.19995,952.669983,3054.19995,53.9500008,184.949997,128.300003,257.450012,106.050003,485.5,43.3499985,963.900024,1233.80005,1704.32324,1412.27502,1173.0,1087.0,879.724976,831.650024,513.549988,2469.8501,417.549988,154.199997,2547.75,312.049988,44.75,881.900024,1085.75,435.899994,6.0999999,53.7000008,155.949997,327.350006,285.200012,1879.05005,1074.19995,139.149994,1406.15002,24.5750008,77.9000015,,27.6000004,381.314423,562.900024,,242.0,713.599976,422.100006,104.050003,973.150024,1751.90002,280.649994,369.299988,837.0,302.049988,333.049988,550.5,456.600006,2301.5,87.3499985,,660.25,1201.69995,128.699997,,479.899994,8659.5498,450.899994,345.825012,292.920013,620.400024,45.5666656,1799.05005,1027.75,80.8499985,751.309998,25.2999992,983.72998,41.25,18588.5508,37.7833328,178.100006,,128.699997,901.549988,3284.1499,170.133331,159.050003,36469.3984,320.549988,657.700012,2256.25,233.199997,135.360001,141.865005,643.525024,1173.07495,3041.3999,47.25,444.049988,596.700012,3045.5,173.512497,3151.3999,67.5780106,,460.950012,144.550003,124.349998,1078.2251,73.5,82.4499969,92.2584229,737.700012,1112.65002,532.099976,26201.4004,259.059998,1964.45251,3784.30005,422.649994,2398.6001,1009.25,2590.69995,8.14999962,,611.200012,717.299988,6381.2998,197.550003,107.550003,,3213.80005,1098.25,2576.05005,2580.05005,,1557.59998,545.150024,1354.15002,1128.84998,7741.4502,68.1500015,,502.899994,742.549988,287.649994,272.75,813.650024,,185.125,15.1999998,501.0,12742.0498,46269.6992,28675.75,1745.40002,5668.25,12300.0,3774.3501,420.149994,41366.5,17722.3008
2023-04-12,427.450012,3203.55005,156.350006,,1847.25,941.849976,657.75,3340.6001,1874.44995,396.049988,125.095001,1201.25,4320.2002,68.75,2786.75,1429.84998,580.150024,561.599976,851.049988,4286.0,1321.55005,6039.3501,585.695007,209.350006,170.399994,75.4000015,499.299988,100.800003,769.099976,771.099976,71.6500015,223.649994,719.849976,18765.5,168.649994,4271.2998,154.100006,432.130005,57.2200012,498.524994,301.25,820.25,917.950012,227.699997,813.039978,1556.65002,600.950012,296.850006,1559.5,517.650024,1995.09998,329.950012,3212.1001,2926.3999,406.549988,3473.1001,976.200012,3128.3501,53.2000008,185.300003,127.25,265.049988,108.599998,491.450012,43.7000008,968.849976,1247.69995,1710.64807,1405.77502,1181.84998,1094.5,892.325012,842.450012,517.049988,2477.30005,417.649994,153.266663,2528.94995,313.25,44.7999992,890.150024,1090.84998,442.5,6.19999981,53.8499985,155.699997,330.75,283.700012,1880.05005,1074.75,139.550003,1428.30005,24.0125008,78.0,,27.3500004,378.955292,559.299988,,244.350006,718.25,430.75,103.400002,959.299988,1753.15002,291.549988,368.809998,851.450012,323.100006,330.25,549.299988,457.575012,2288.5,87.1999969,,679.549988,1207.34998,126.900002,,477.299988,8621.0498,479.0,355.225006,296.190002,620.049988,45.9000015,1820.59998,1025.0,80.6500015,772.059998,25.3333321,972.015015,41.2999992,18702.0508,37.75,175.800003,,127.150002,906.700012,3312.5,174.366669,157.649994,37798.9492,322.450012,648.0,2271.80005,231.449997,132.720001,145.070007,641.950012,1173.90002,3032.5,47.0499992,438.850006,592.150024,3051.05005,170.475006,3140.75,70.9471436,,447.899994,145.350006,123.300003,1082.97864,72.75,82.6999969,91.4561768,741.900024,1126.84998,528.200012,26116.9004,261.799988,1957.43787,3813.8501,432.049988,2424.5,1016.70001,2619.25,8.10000038,,621.5,718.400024,6376.9502,197.100006,107.599998,,3241.6499,1109.90002,2635.6499,2587.8999,,1587.65002,535.549988,1363.25,1135.69995,7682.8501,67.5999985,,506.25,739.900024,289.480011,275.600006,816.799988,,186.074997,15.3999996,504.600006,12862.2002,46112.6016,28980.3496,1735.34998,5695.5498,12574.2002,3750.25,420.450012,41557.9492,17812.4004
2023-04-13,428.149994,3230.0,157.699997,,1870.75,941.150024,661.650024,3345.05005,1865.40002,392.649994,126.370003,1189.94995,4398.2998,69.0,2809.75,1449.34998,679.200012,565.950012,864.349976,4288.3501,1341.30005,5949.4502,590.445007,205.0,171.399994,77.0500031,494.174988,100.900002,764.450012,767.049988,71.8000031,224.100006,736.924988,18907.0508,166.125,4264.2002,153.083328,427.600006,58.25,499.799988,298.0,820.950012,915.75,225.5,805.73999,1549.40002,604.650024,295.399994,1548.69995,527.150024,2000.75,325.0,3183.94995,2982.55005,413.149994,3501.05005,970.580017,3213.05005,53.8499985,185.399994,128.100006,265.200012,108.150002,490.25,43.9000015,963.200012,1283.09998,1694.36292,1402.47498,1186.19995,1071.84998,895.900024,846.224976,531.849976,2447.05005,422.049988,150.0,2536.19995,319.700012,44.7999992,899.0,1087.84998,442.899994,6.05000019,54.0,154.800003,328.049988,287.049988,1879.34998,1109.30005,137.399994,1389.19995,24.2374992,77.1999969,,27.5,380.92926,560.400024,,245.449997,720.650024,435.149994,104.25,954.799988,1753.94995,296.100006,373.899994,869.099976,313.899994,327.399994,550.950012,457.450012,2258.75,87.6500015,,671.400024,1204.55005,127.150002,,476.799988,8670.7998,471.649994,351.825012,293.390015,625.700012,45.5333328,1771.05005,1033.34998,79.5999985,764.090027,25.4333324,973.267517,42.8499985,18854.3008,37.0999985,173.050003,,126.150002,913.900024,3301.75,173.666672,158.75,37699.8984,323.399994,650.900024,2195.875,227.600006,129.279999,143.735001,650.099976,1175.09998,3031.55005,47.75,423.450012,583.700012,3084.25,173.399994,3132.1001,69.8240967,,448.649994,147.100006,121.349998,1087.06287,73.5500031,81.5500031,91.1441956,758.75,1130.25,532.950012,25808.1992,259.320007,1952.65381,3799.1499,444.350006,2439.25,1003.5,2636.75,8.05000019,,616.150024,719.599976,6283.5,196.300003,107.5,,3188.8501,1086.84998,2598.55005,2585.6499,,1577.55005,539.0,1361.80005,1162.94995,7655.25,69.6999969,,501.600006,737.0,285.910004,275.700012,823.5,,184.149994,15.3500004,503.649994,12918.6504,46211.9492,28342.8008,1722.5,5710.0498,12478.9004,3804.75,425.200012,42132.5508,17828.0
2023-04-17,403.399994,3229.0,164.649994,,1878.75,962.549988,664.700012,3332.3501,1857.80005,391.549988,127.68,1190.19995,4386.7002,69.125,2843.1001,1454.34998,688.650024,558.549988,864.549988,4254.3501,1341.15002,6097.2998,596.14502,206.699997,176.350006,79.9499969,495.649994,101.400002,777.950012,759.650024,72.6500015,223.949997,748.924988,18885.1992,167.850006,4338.6001,153.633331,420.01001,59.4900017,501.625,301.100006,836.450012,906.450012,229.600006,778.380005,1559.19995,605.049988,291.399994,1498.65002,524.099976,2035.19995,323.200012,3162.6499,2957.8501,415.350006,3497.1001,970.460022,3229.0,53.9500008,188.100006,131.350006,264.899994,110.099998,490.299988,44.6500015,974.75,1279.30005,1716.82349,1415.72498,1215.19995,1042.19995,903.575012,833.325012,533.400024,2465.94995,428.700012,151.266663,2551.8501,318.850006,45.25,901.299988,1104.09998,450.649994,6.05000019,55.1500015,154.100006,332.399994,309.5,1937.0,1124.34998,137.100006,1258.30005,24.1124992,77.25,,27.5499992,385.310547,560.450012,,248.350006,721.200012,431.0,103.449997,970.599976,1779.65002,289.950012,379.029999,858.599976,304.600006,332.0,544.599976,471.75,2214.0,88.6500015,,658.150024,1212.94995,127.75,,479.450012,8674.65039,471.299988,359.225006,294.929993,637.5,45.9000015,1736.55005,1048.84998,81.4000015,732.830017,25.8333321,1012.21997,43.4500008,18827.25,37.1500015,169.600006,,125.099998,916.799988,3281.1499,175.233337,160.149994,38236.75,322.333344,645.25,2102.2749,233.449997,132.320007,144.505005,667.375,1184.84998,3041.6499,48.7999992,411.549988,595.450012,3097.80005,177.487503,3088.8501,69.8240967,,448.149994,154.350006,122.900002,1092.57776,73.0999985,82.3000031,92.3475647,762.150024,1145.34998,544.0,25532.1504,264.269989,1960.3728,3853.94995,459.200012,2461.6499,998.700012,2656.3501,8.14999962,,611.599976,713.200012,6289.75,196.949997,107.150002,,3139.5,1029.94995,2707.5,2605.6001,,1585.84998,519.950012,1363.30005,1169.65002,7742.4502,73.0,,512.200012,737.150024,290.420013,279.0,835.299988,,180.675003,15.3500004,502.100006,12996.1504,46688.6016,27008.1992,1715.80005,5734.5,12403.5996,3923.8999,429.399994,42262.5508,17706.8496
2023-04-18,407.5,3207.69995,163.300003,,1850.94995,952.25,658.549988,3366.8501,1856.5,383.049988,129.744995,1228.19995,4338.6499,69.8000031,2854.6001,1450.75,693.049988,577.450012,863.349976,4209.25,1335.19995,6349.6499,591.565002,213.300003,177.899994,80.75,492.299988,102.949997,789.299988,759.75,75.4499969,232.100006,732.075012,18814.25,167.399994,4301.8501,155.733337,425.829987,59.8400002,505.674988,303.850006,839.599976,924.25,232.199997,805.640015,1551.44995,608.650024,294.899994,1490.0,520.900024,2034.94995,330.149994,3270.6001,2976.8999,423.850006,3506.80005,982.47998,3263.55005,53.2999992,186.899994,131.649994,264.700012,109.5,504.950012,44.2999992,969.450012,1307.25,1698.19763,1414.57495,1210.0,1063.84998,905.424988,829.799988,532.299988,2439.69995,431.549988,152.399994,2541.05005,323.299988,45.4500008,896.849976,1130.75,449.899994,6.05000019,56.5,153.850006,330.399994,321.549988,1960.0,1146.90002,136.899994,1259.34998,24.3374996,78.0,,28.25,383.72171,566.5,,247.699997,719.349976,440.649994,103.5,958.5,1779.75,295.149994,377.660004,866.75,309.299988,332.399994,548.450012,466.774994,2216.6001,88.9000015,,698.549988,1204.69995,130.5,,480.100006,8732.65039,463.899994,358.100006,290.100006,649.900024,45.7999992,1783.80005,1050.19995,82.6999969,740.909973,25.5,1033.0625,43.0499992,18764.5996,37.4333344,170.100006,,125.550003,923.700012,3299.30005,176.53334,160.100006,38524.8984,318.566681,645.0,2177.80005,234.350006,129.399994,144.300003,675.224976,1216.25,3153.30005,49.0999985,412.799988,594.849976,3095.75,172.725006,3081.30005,70.1658936,,439.200012,154.550003,123.25,1080.07117,75.0,82.3000031,92.3029938,770.049988,1145.55005,545.849976,25263.6504,267.839996,1946.34351,3861.1499,468.100006,2483.5,1004.79999,2624.8999,8.05000019,,617.849976,707.049988,6367.2998,197.25,107.599998,,3130.75,1025.19995,2700.55005,2577.69995,,1594.69995,531.299988,1361.09998,1144.94995,7595.2998,73.5,,517.349976,738.650024,282.899994,279.600006,835.150024,,183.949997,16.6499996,515.900024,13005.0996,46536.3516,27166.9492,1710.09998,5749.0,12607.3496,3953.55005,433.850006,42265.1992,17660.1504
2023-04-19,415.100006,3201.05005,161.300003,,1853.84998,935.799988,658.400024,3341.69995,1833.5,380.049988,126.18,1230.15002,4320.2998,68.8499985,2809.69995,1432.84998,678.599976,587.349976,873.400024,4265.7998,1331.34998,6315.5498,594.775024,214.350006,177.25,80.1500015,485.725006,101.400002,780.549988,764.650024,75.4000015,229.399994,734.325012,18686.1992,171.0,4293.8501,151.46666,422.820007,59.0099983,503.600006,298.600006,846.900024,911.900024,230.399994,780.390015,1528.94995,599.400024,292.25,1501.05005,520.049988,2052.5,327.799988,3342.6001,3010.3999,421.700012,3476.19995,981.869995,3289.6001,54.1500015,188.100006,131.699997,267.25,108.25,512.0,44.3499985,967.849976,1292.90002,1683.40637,1410.55005,1215.59998,1038.69995,884.275024,832.849976,524.799988,2445.94995,433.049988,158.833328,2531.6001,324.450012,45.75,891.900024,1076.19995,445.600006,6.05000019,56.3499985,152.850006,330.549988,320.0,1968.84998,1120.40002,136.75,1232.19995,24.5375004,78.5500031,,27.8500004,383.962463,579.849976,,248.050003,722.349976,437.75,102.599998,942.900024,1751.55005,293.100006,376.980011,853.349976,311.950012,330.899994,546.5,476.25,2219.6001,87.8000031,,686.849976,1215.5,129.600006,,468.149994,8679.9502,469.799988,353.774994,288.480011,636.299988,46.0,1784.05005,1042.09998,83.9000015,722.73999,25.3999996,1030.93506,42.9500008,18768.6504,37.7666664,167.100006,,124.25,923.400024,3289.8501,172.800003,160.100006,38019.0,318.316681,644.25,2158.69995,233.899994,129.240005,143.229996,680.75,1204.30005,3153.5,48.5499992,417.350006,582.75,3138.8501,172.462494,3044.8999,75.7322922,,450.700012,149.449997,122.849998,1085.44763,74.4499969,82.6500015,90.7430725,759.150024,1123.40002,540.299988,24758.9492,273.309998,1914.64563,3844.6001,464.75,2470.44995,995.5,2598.69995,8.0,,615.849976,700.849976,6307.2002,193.449997,108.099998,,3089.6001,1013.90002,2722.25,2569.30005,,1593.34998,533.400024,1359.40002,1170.15002,7515.8999,72.5500031,,515.299988,735.950012,288.01001,281.549988,851.049988,,180.399994,16.5499992,517.099976,13002.5498,46421.4492,26687.4492,1680.84998,5779.6499,12625.2998,3920.19995,434.549988,42154.0,17618.75
2023-04-20,409.850006,3184.30005,161.300003,,1842.90002,933.049988,666.099976,3355.8999,1854.44995,380.700012,123.839996,1225.09998,4348.3999,69.4499969,2843.8501,1418.59998,679.400024,580.75,868.75,4314.3501,1332.09998,6401.25,591.27002,217.850006,177.75,78.9499969,492.100006,102.849998,787.650024,772.299988,76.25,229.5,743.525024,18740.5508,171.850006,4256.3999,149.949997,420.420013,59.3300018,505.424988,300.149994,843.299988,904.0,229.550003,762.690002,1536.65002,611.599976,293.700012,1559.90002,525.299988,1988.94995,337.100006,3203.1001,2987.55005,414.450012,3482.19995,971.640015,3246.94995,54.2000008,188.050003,132.300003,265.450012,108.699997,512.150024,44.4000015,975.150024,1279.44995,1680.76697,1388.07495,1205.84998,1037.5,887.099976,835.950012,530.25,2448.55005,429.850006,159.800003,2492.6001,327.549988,45.25,894.400024,1076.25,455.700012,6.05000019,56.4000015,153.850006,335.100006,306.399994,1990.34998,1126.19995,137.699997,1223.40002,24.75,78.1999969,,28.2000008,385.454987,584.549988,,259.450012,715.799988,438.200012,102.900002,942.099976,1738.0,296.100006,376.799988,856.400024,306.299988,332.25,551.900024,470.950012,2232.75,88.9499969,,684.25,1218.59998,128.850006,,471.75,8714.65039,465.399994,359.899994,290.279999,641.150024,46.6666641,1758.0,1039.30005,83.0500031,721.340027,26.0,1023.65503,41.9000015,18790.3008,37.4000015,169.699997,,123.75,913.5,3296.3999,168.96666,159.149994,39259.1484,313.399994,656.849976,2145.0249,232.949997,128.0,139.975006,690.650024,1204.05005,3159.75,48.5999985,426.549988,585.200012,3129.19995,173.175003,3197.75,72.4608154,,458.149994,149.600006,122.699997,1082.70166,77.0999985,83.1999969,91.9464417,753.75,1128.84998,544.799988,24254.4004,267.869995,1920.25146,3757.6001,477.649994,2472.8501,987.75,2633.94995,7.94999981,,616.5,703.400024,6251.6499,196.399994,108.0,,3104.80005,1021.79999,2635.55005,2579.25,,1589.55005,538.0,1393.69995,1127.94995,7475.7998,72.3499985,,505.350006,732.049988,276.350006,279.600006,867.450012,,181.425003,16.5,513.700012,13032.3496,46256.0508,26637.1504,1684.19995,5756.9502,12485.25,3916.0,432.700012,42269.5,17624.4492
2023-04-21,407.0,3153.30005,158.050003,,1803.0,916.200012,661.599976,3409.0,1842.44995,375.100006,122.279999,1230.05005,4361.2998,68.125,2882.1001,1402.25,665.950012,588.099976,864.200012,4308.2998,1317.90002,6363.2002,593.789978,220.5,176.449997,77.1500015,493.075012,102.800003,782.75,765.200012,75.25,228.850006,740.224976,18766.9492,173.100006,4327.7998,150.46666,412.869995,59.0600014,502.649994,302.799988,837.349976,915.049988,230.050003,766.150024,1539.94995,608.200012,294.649994,1544.5,525.150024,1922.05005,357.25,3231.6499,2930.3999,406.049988,3455.8999,973.75,3200.69995,56.0499992,187.800003,131.0,265.149994,108.349998,511.600006,44.4500008,987.150024,1272.55005,1655.36792,1390.97498,1208.65002,1048.94995,884.974976,837.299988,513.299988,2459.3501,422.350006,161.199997,2497.94995,324.600006,44.2999992,885.650024,1059.59998,444.100006,6.44999981,56.4500008,153.699997,336.75,302.25,1987.65002,1116.34998,139.100006,1227.34998,24.9249992,78.25,,28.0499992,393.110138,573.049988,,253.649994,710.650024,442.549988,103.099998,943.849976,1749.15002,297.200012,378.730011,848.700012,303.0,331.200012,548.0,453.899994,2215.19995,87.3499985,,695.150024,1212.75,126.300003,,473.25,8558.4502,453.450012,370.149994,291.549988,623.599976,46.7000008,1759.94995,1035.05005,82.1500015,725.48999,25.3999996,1024.84253,42.8499985,18753.75,36.6166649,169.699997,,120.599998,873.349976,3309.19995,171.100006,159.600006,40054.6992,316.833344,655.049988,2150.67505,233.699997,125.360001,140.505005,675.825012,1220.07495,3189.8999,48.25,428.149994,593.599976,3111.6499,173.662506,3220.5,72.4119873,,460.5,147.649994,121.900002,1084.06311,77.5,81.5999985,90.9213486,762.349976,1106.55005,543.150024,23887.0508,271.769989,1907.42554,3831.80005,466.350006,2477.0,989.450012,2685.94995,7.94999981,,617.099976,700.400024,6281.0,195.699997,106.150002,,3160.8501,998.75,2595.8501,2568.30005,,1613.30005,540.799988,1383.34998,1092.94995,7358.5,71.3000031,,513.0,734.700012,279.440002,276.75,856.950012,,184.024994,16.2000008,518.75,12898.75,46669.6992,26822.0996,1706.65002,5677.8999,12545.75,3883.0,423.5,42118.0,17624.0508
2023-04-24,415.950012,3217.3999,160.149994,,1801.94995,887.099976,671.299988,3428.80005,1859.15002,380.299988,123.400002,1220.69995,4399.0498,68.2249985,2891.1001,1393.90002,663.900024,589.650024,882.299988,4332.1001,1319.75,6486.8999,593.375,219.800003,180.199997,79.6999969,495.225006,101.800003,790.700012,760.25,76.5500031,225.649994,757.875,18732.1504,173.600006,4311.0,152.649994,406.929993,60.5900002,493.5,302.450012,840.349976,903.0,231.550003,778.320007,1570.09998,603.099976,294.25,1554.40002,524.849976,1929.25,353.75,3192.8501,2893.80005,411.149994,3467.19995,961.219971,3182.80005,56.0,188.399994,132.100006,265.350006,109.300003,516.849976,44.5999985,989.599976,1283.40002,1682.60962,1412.80005,1201.90002,1054.05005,890.450012,844.075012,547.549988,2501.05005,427.799988,162.53334,2499.75,318.450012,46.7999992,904.75,1069.40002,442.799988,6.3499999,58.25,152.850006,339.0,313.299988,1991.94995,1102.0,138.850006,1226.30005,26.4750004,78.25,,29.5499992,393.543457,576.599976,,259.200012,720.349976,449.75,103.199997,961.0,1790.09998,309.549988,379.450012,849.700012,298.149994,338.200012,549.400024,453.825012,2228.8999,90.1500015,,702.049988,1207.75,128.0,,474.950012,8466.15039,449.799988,375.424988,292.480011,622.950012,47.2333336,1760.30005,1019.09998,82.5500031,734.119995,25.3333321,1034.46497,42.4000015,18992.9492,36.6166649,170.949997,,119.099998,877.650024,3417.3501,169.53334,160.25,40534.1016,312.966675,663.75,2221.1499,235.899994,128.639999,141.610001,679.674988,1210.57495,3112.94995,49.25,428.850006,586.799988,3142.44995,173.962494,3234.75,69.9705811,,465.299988,151.5,123.949997,1088.21667,87.75,82.0,92.6149826,772.75,1105.69995,554.599976,23870.3496,278.519989,1918.6665,3856.8501,457.799988,2499.80005,979.150024,2685.6001,7.94999981,,620.099976,732.549988,6252.9502,195.850006,106.5,,3174.80005,1006.09998,2558.5,2629.55005,,1621.44995,544.049988,1384.0,1101.80005,7440.5498,73.5500031,,507.450012,729.849976,289.940002,275.25,848.049988,,188.975006,15.6999998,516.950012,12893.3496,46943.0508,27013.6504,1684.30005,5703.2998,12454.3496,3984.19995,428.0,42635.75,17743.4004
