instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
293449733,1146288,BANKEX26JULFUT,"BANKEX",0,2026-07-30,0,0.05,30,FUT,BFO-FUT,BFO
211616005,826625,BANKEX26AUGFUT,"BANKEX",0,2026-08-27,0,0.05,30,FUT,BFO-FUT,BFO
216455429,845529,BANKEX26SEPFUT,"BANKEX",0,2026-09-24,0,0.05,30,FUT,BFO-FUT,BFO
297225989,1161039,FOCIT26JULFUT,"FOCIT",0,2026-07-30,0,1,45,FUT,BFO-FUT,BFO
212630789,830589,FOCIT26AUGFUT,"FOCIT",0,2026-08-27,0,1,45,FUT,BFO-FUT,BFO
217274373,848728,FOCIT26SEPFUT,"FOCIT",0,2026-09-24,0,1,45,FUT,BFO-FUT,BFO
292993797,1144507,SENSEX26JULFUT,"SENSEX",0,2026-07-30,0,0.05,20,FUT,BFO-FUT,BFO
211359237,825622,SENSEX26AUGFUT,"SENSEX",0,2026-08-27,0,0.05,20,FUT,BFO-FUT,BFO
216221445,844615,SENSEX26SEPFUT,"SENSEX",0,2026-09-24,0,0.05,20,FUT,BFO-FUT,BFO
291452421,1138486,SENSEX5026JULFUT,"SENSEX50",0,2026-07-30,0,0.05,75,FUT,BFO-FUT,BFO
212699909,830859,SENSEX5026AUGFUT,"SENSEX50",0,2026-08-27,0,0.05,75,FUT,BFO-FUT,BFO
217333509,848959,SENSEX5026SEPFUT,"SENSEX50",0,2026-09-24,0,0.05,75,FUT,BFO-FUT,BFO
291836421,1139986,BANKEX26JUL65500CE,"BANKEX",0,2026-07-30,65500,0.05,30,CE,BFO-OPT,BFO
292470021,1142461,BANKEX26JUL65500PE,"BANKEX",0,2026-07-30,65500,0.05,30,PE,BFO-OPT,BFO
292672261,1143251,BANKEX26JUL65400CE,"BANKEX",0,2026-07-30,65400,0.05,30,CE,BFO-OPT,BFO
293537797,1146632,BANKEX26JUL65400PE,"BANKEX",0,2026-07-30,65400,0.05,30,PE,BFO-OPT,BFO
292976389,1144439,BANKEX26JUL65600CE,"BANKEX",0,2026-07-30,65600,0.05,30,CE,BFO-OPT,BFO
293881605,1147975,BANKEX26JUL65600PE,"BANKEX",0,2026-07-30,65600,0.05,30,PE,BFO-OPT,BFO
292239877,1141562,BANKEX26JUL65300PE,"BANKEX",0,2026-07-30,65300,0.05,30,PE,BFO-OPT,BFO
293703173,1147278,BANKEX26JUL65300CE,"BANKEX",0,2026-07-30,65300,0.05,30,CE,BFO-OPT,BFO
292012805,1140675,BANKEX26JUL65700CE,"BANKEX",0,2026-07-30,65700,0.05,30,CE,BFO-OPT,BFO
292838405,1143900,BANKEX26JUL65700PE,"BANKEX",0,2026-07-30,65700,0.05,30,PE,BFO-OPT,BFO
292370181,1142071,BANKEX26JUL65200CE,"BANKEX",0,2026-07-30,65200,0.05,30,CE,BFO-OPT,BFO
293275909,1145609,BANKEX26JUL65200PE,"BANKEX",0,2026-07-30,65200,0.05,30,PE,BFO-OPT,BFO
291922437,1140322,BANKEX26JUL65800PE,"BANKEX",0,2026-07-30,65800,0.05,30,PE,BFO-OPT,BFO
293197061,1145301,BANKEX26JUL65800CE,"BANKEX",0,2026-07-30,65800,0.05,30,CE,BFO-OPT,BFO
293406213,1146118,BANKEX26JUL65100CE,"BANKEX",0,2026-07-30,65100,0.05,30,CE,BFO-OPT,BFO
294325253,1149708,BANKEX26JUL65100PE,"BANKEX",0,2026-07-30,65100,0.05,30,PE,BFO-OPT,BFO
292181765,1141335,BANKEX26JUL65900CE,"BANKEX",0,2026-07-30,65900,0.05,30,CE,BFO-OPT,BFO
293086469,1144869,BANKEX26JUL65900PE,"BANKEX",0,2026-07-30,65900,0.05,30,PE,BFO-OPT,BFO
292165381,1141271,BANKEX26JUL65000CE,"BANKEX",0,2026-07-30,65000,0.05,30,CE,BFO-OPT,BFO
293055237,1144747,BANKEX26JUL65000PE,"BANKEX",0,2026-07-30,65000,0.05,30,PE,BFO-OPT,BFO
291540485,1138830,BANKEX26JUL66000PE,"BANKEX",0,2026-07-30,66000,0.05,30,PE,BFO-OPT,BFO
294594053,1150758,BANKEX26JUL66000CE,"BANKEX",0,2026-07-30,66000,0.05,30,CE,BFO-OPT,BFO
