Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-04-24,1,LUPIN,Healthcare,100,-1.29,-1.14,5.47,18.36,17.22,Medium Vol,—
2026-04-24,2,ICICIGI,Financial Services,96,-6.32,-0.29,-5.98,-11.44,18.72,Medium Vol,—
2026-04-24,3,MARICO,Fast Moving Consumer Goods,96,3.43,5.24,2.98,6.55,18.81,Medium Vol,—
2026-04-24,4,APOLLOHOSP,Healthcare,95,0.44,5.0,8.4,-2.14,19.22,Medium Vol,—
2026-04-24,5,BHARTIARTL,Telecommunication,95,-1.75,-1.71,-9.73,-9.82,19.27,Medium Vol,—
2026-04-24,6,SUNPHARMA,Healthcare,94,-3.29,-8.82,-3.28,-3.5,19.38,Medium Vol,—
2026-04-24,7,NESTLEIND,Fast Moving Consumer Goods,93,10.56,19.08,8.03,10.22,19.73,Medium Vol,—
2026-04-24,8,BRITANNIA,Fast Moving Consumer Goods,93,-0.09,1.99,-3.58,-5.79,19.82,Medium Vol,—
2026-04-24,9,NTPC,Power,91,2.1,5.49,17.04,17.84,20.52,Medium Vol,—
2026-04-24,10,CIPLA,Healthcare,91,4.37,3.07,-6.99,-17.91,20.62,Medium Vol,—
2026-04-24,11,ZYDUSLIFE,Healthcare,91,-1.75,4.14,5.25,-6.1,20.68,Medium Vol,—
2026-04-24,12,TORNTPHARM,Healthcare,90,-1.49,-3.58,0.75,14.87,20.85,Medium Vol,—
2026-04-24,13,KOTAKBANK,Financial Services,89,-3.32,1.12,-13.13,-15.94,21.22,Medium Vol,—
2026-04-24,14,HINDUNILVR,Fast Moving Consumer Goods,89,3.86,11.74,-3.59,-10.62,21.55,Medium Vol,—
2026-04-24,15,ICICIBANK,Financial Services,88,-1.53,6.49,-3.94,-7.68,21.58,Medium Vol,—
2026-04-24,16,DIVISLAB,Healthcare,88,2.13,4.29,3.61,-3.93,21.59,Medium Vol,—
2026-04-24,17,TATACONSUM,Fast Moving Consumer Goods,88,5.46,11.79,-0.53,0.69,21.71,Medium Vol,—
2026-04-24,18,RELIANCE,Oil Gas & Consumable Fuels,88,-2.73,-6.12,-6.07,-6.28,21.95,Medium Vol,—
2026-04-24,19,SBILIFE,Financial Services,87,-10.25,-6.75,-14.7,-4.08,21.97,Medium Vol,—
2026-04-24,20,POWERGRID,Power,87,-0.53,6.32,22.8,9.2,21.99,Medium Vol,—
