Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-04-30,1,NATIONALUM,Metals & Mining,100,8.13,5.76,24.32,88.5,43.44,Very High Vol,—
2026-04-30,2,MCX,Financial Services,79,10.24,13.31,30.63,64.38,40.62,Very High Vol,—
2026-04-30,3,SHRIRAMFIN,Financial Services,70,-0.04,-0.87,4.85,52.87,38.96,Very High Vol,—
2026-04-30,4,VEDL,Metals & Mining,70,8.52,8.79,28.37,61.68,34.54,High Vol,—
2026-04-30,5,POWERINDIA,Capital Goods,65,9.03,13.57,58.02,59.35,46.84,Very High Vol,—
2026-04-30,6,FEDERALBNK,Financial Services,65,-0.02,5.24,11.4,37.17,29.2,High Vol,—
2026-04-30,7,BSE,Financial Services,63,8.95,20.91,29.11,47.91,41.9,Very High Vol,—
2026-04-30,8,INDUSTOWER,Telecommunication,56,-6.3,-6.54,-4.67,16.43,28.49,High Vol,—
2026-04-30,9,LUPIN,Healthcare,55,1.43,-1.29,6.64,18.87,17.09,Medium Vol,—
2026-04-30,10,ONGC,Oil Gas & Consumable Fuels,53,-0.96,4.51,20.79,16.17,25.62,High Vol,—
2026-04-30,11,UNIONBANK,Financial Services,53,1.52,3.51,16.17,36.76,35.77,Very High Vol,—
2026-04-30,12,LAURUSLABS,Healthcare,53,4.24,7.79,4.19,30.43,29.34,High Vol,—
2026-04-30,13,TITAN,Consumer Durables,52,-0.69,8.03,6.18,25.65,23.27,Medium Vol,—
2026-04-30,14,TORNTPHARM,Healthcare,52,3.14,-6.52,4.86,17.05,20.64,Medium Vol,—
2026-04-30,15,ASTRAL,Capital Goods,52,3.49,-6.92,8.95,12.28,31.41,High Vol,—
2026-04-30,16,SONACOMS,Automobile and Auto Components,52,8.83,13.83,26.37,35.25,32.56,High Vol,—
2026-04-30,17,HINDALCO,Metals & Mining,51,9.26,7.23,15.42,34.34,31.17,High Vol,—
2026-04-30,18,COALINDIA,Oil Gas & Consumable Fuels,51,-3.67,-7.95,3.44,12.89,26.68,High Vol,—
2026-04-30,19,AUBANK,Financial Services,50,1.67,9.06,-1.53,29.47,33.07,High Vol,—
2026-04-30,20,OIL,Oil Gas & Consumable Fuels,50,0.75,-3.53,10.08,10.65,31.64,High Vol,—
