Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-07-22,1,BSE,Financial Services,100,-3.25,-9.93,3.31,28.04,39.53,Very High Vol,Quality Factor
2026-07-22,2,ADANIENT,Metals & Mining,93,-0.09,2.88,41.41,46.18,41.42,Very High Vol,Quality Factor
2026-07-22,3,SUZLON,Capital Goods,86,1.13,-10.62,-0.17,8.16,36.43,Very High Vol,Quality Factor
2026-07-22,5,DIXON,Consumer Durables,71,1.69,12.53,23.23,25.03,45.82,Very High Vol,Quality Factor
2026-07-22,9,MCX,Financial Services,43,-3.07,-2.32,-0.77,16.01,42.29,Very High Vol,Quality Factor
2026-07-22,10,TRENT,Consumer Services,36,0.68,-9.22,-34.24,-26.57,61.1,Very High Vol,Quality Factor
2026-07-22,11,LUPIN,Healthcare,29,-3.45,2.86,4.13,9.61,21.14,Medium Vol,Quality Factor
2026-07-22,12,INOXWIND,Capital Goods,21,-4.14,-17.46,-23.37,-33.03,45.02,Very High Vol,Quality Factor
2026-07-22,13,MAXHEALTH,Healthcare,14,-1.97,-1.28,5.95,4.59,27.03,High Vol,Quality Factor
2026-07-22,14,KFINTECH,Financial Services,7,-1.54,-2.71,-11.71,-17.57,35.57,Very High Vol,Quality Factor
