Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-06-30,1,PIDILITIND,Chemicals,100,1.3,7.41,19.55,9.15,24.87,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,2,INDHOTEL,Consumer Services,54,-2.6,9.12,18.19,-3.54,28.35,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,3,INDIGO,Services,53,6.92,21.87,29.33,4.33,39.58,Very High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,4,CIPLA,Healthcare,42,3.51,4.6,20.17,-3.14,24.25,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,5,ZYDUSLIFE,Healthcare,38,2.5,3.24,25.52,21.17,24.63,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,6,GRASIM,Construction Materials,35,-2.37,-0.72,21.6,10.33,24.61,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,7,YESBANK,Financial Services,27,-3.12,4.45,33.81,11.02,31.64,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,8,ADANIENT,Metals & Mining,21,-0.77,3.36,67.01,34.13,41.16,Very High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,9,IDEA,Telecommunication,21,-2.43,3.36,62.84,22.03,46.42,Very High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,10,GAIL,Oil Gas & Consumable Fuels,17,-2.17,5.44,26.0,1.01,29.14,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,11,COLPAL,Fast Moving Consumer Goods,9,0.8,-3.01,6.42,-5.23,26.86,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,12,COFORGE,Information Technology,8,-1.23,3.09,32.03,-21.57,42.48,Very High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,13,POLYCAB,Capital Goods,8,-0.61,5.1,41.0,31.01,34.14,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,14,MANKIND,Healthcare,7,0.29,7.16,28.06,16.43,29.91,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,15,BIOCON,Healthcare,7,-0.66,-2.41,13.35,4.76,24.2,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,16,LAURUSLABS,Healthcare,7,5.68,11.41,52.87,42.59,31.89,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,17,EXIDEIND,Automobile and Auto Components,6,1.64,0.28,29.85,5.83,33.93,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,18,KOTAKBANK,Financial Services,3,-2.46,2.1,6.92,-8.77,23.16,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,19,MARICO,Fast Moving Consumer Goods,3,2.93,1.77,13.14,13.12,18.92,Medium Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
2026-06-30,20,VBL,Fast Moving Consumer Goods,0,-1.05,-3.87,30.69,4.51,30.54,High Vol,Recent 2M z-score >= +1.50 + (recent bear cross OR EMA(3/8) bearish)
