Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-08-24,1,PFC,Financial Services,100,-2.78,-11.63,-17.07,-12.7,30.98,High Vol,EMA Ensemble Downside
2026-08-24,2,PAGEIND,Textiles,100,-4.82,-11.71,-7.74,5.57,27.55,High Vol,EMA Ensemble Downside
2026-08-24,3,GODREJCP,Fast Moving Consumer Goods,100,0.1,-12.33,-8.97,-23.53,31.61,High Vol,EMA Ensemble Downside
2026-08-24,4,TORNTPOWER,Power,100,-5.07,-13.1,-15.48,-16.15,33.47,High Vol,EMA Ensemble Downside
2026-08-24,5,RECLTD,Financial Services,100,-3.56,-9.32,-4.18,-8.56,31.32,High Vol,EMA Ensemble Downside
2026-08-24,6,BSE,Financial Services,100,-0.58,-6.68,-22.8,20.8,36.23,Very High Vol,EMA Ensemble Downside
2026-08-24,7,COLPAL,Fast Moving Consumer Goods,100,-4.33,-9.93,-10.4,-12.65,28.58,High Vol,EMA Ensemble Downside
2026-08-24,8,SHREECEM,Construction Materials,100,-2.1,-10.17,-5.27,-8.91,26.1,High Vol,EMA Ensemble Downside
2026-08-24,9,SAMMAANCAP,Financial Services,100,-2.56,-7.0,-11.37,1.41,38.56,Very High Vol,EMA Ensemble Downside
2026-08-24,10,TMPV,Automobile and Auto Components,100,-4.78,-2.9,-15.77,-17.88,36.37,Very High Vol,EMA Ensemble Downside
2026-08-24,11,PIIND,Chemicals,100,0.12,-9.38,-13.13,-19.24,33.14,High Vol,EMA Ensemble Downside
2026-08-24,12,LUPIN,Healthcare,100,-3.14,-7.7,-4.34,-2.65,21.31,Medium Vol,EMA Ensemble Downside
2026-08-24,13,MAXHEALTH,Healthcare,100,-1.32,-8.32,-1.03,-7.96,26.0,High Vol,EMA Ensemble Downside
2026-08-24,14,GMRAIRPORT,Services,100,-2.46,-7.75,1.98,-0.98,32.33,High Vol,EMA Ensemble Downside
2026-08-24,15,NBCC,Construction,100,-1.3,-5.61,-8.48,-10.08,36.5,Very High Vol,EMA Ensemble Downside
2026-08-24,16,ADANIGREEN,Power,100,-1.48,-6.24,-7.31,28.64,40.97,Very High Vol,EMA Ensemble Downside
2026-08-24,17,HINDPETRO,Oil Gas & Consumable Fuels,100,0.26,-2.4,-7.78,-18.12,41.78,Very High Vol,EMA Ensemble Downside
2026-08-24,18,HUDCO,Financial Services,100,-0.78,-4.1,-9.64,-3.13,32.26,High Vol,EMA Ensemble Downside
2026-08-24,19,DELHIVERY,Services,100,-2.47,-3.85,-2.35,2.28,30.45,High Vol,EMA Ensemble Downside
2026-08-24,20,BLUESTARCO,Consumer Durables,100,-0.27,-8.14,-8.98,-24.89,35.72,Very High Vol,EMA Ensemble Downside
