Date,Rank,Symbol,Sector,Score,1W Return,1M Return,3M Return,6M Return,6M Volatility,Volatility Bucket,Notes
2026-07-08,1,PFC,Financial Services,100,-6.3,-5.79,-0.57,13.56,32.87,High Vol,Value Factor
2026-07-08,2,RECLTD,Financial Services,93,-5.77,1.56,6.47,-2.26,32.73,High Vol,Value Factor
2026-07-08,3,HINDZINC,Metals & Mining,86,1.13,-4.62,0.81,-13.41,43.76,Very High Vol,Value Factor
2026-07-08,4,INDIGO,Services,79,-5.09,17.53,18.82,1.27,40.13,Very High Vol,Value Factor
2026-07-08,5,NATIONALUM,Metals & Mining,71,4.51,-7.52,-14.25,11.28,47.03,Very High Vol,Value Factor
2026-07-08,6,IEX,Financial Services,64,-5.69,-1.81,-7.41,-12.97,37.21,Very High Vol,Value Factor
2026-07-08,7,TCS,Information Technology,57,3.78,-4.36,-16.83,-35.83,31.42,High Vol,Value Factor
2026-07-08,8,INDUSTOWER,Telecommunication,50,-0.08,-8.82,-8.68,-7.21,26.61,High Vol,Value Factor
2026-07-08,9,INFY,Information Technology,43,8.53,-9.96,-18.14,-33.81,34.35,High Vol,Value Factor
2026-07-08,11,OFSS,Information Technology,29,1.28,12.77,56.79,43.12,36.75,Very High Vol,Value Factor
2026-07-08,13,SUZLON,Capital Goods,14,-8.95,-2.39,27.75,0.87,37.31,Very High Vol,Value Factor
