rank,ticker,type,expiry,strike,strength
1,BAJAJFINSV,CALL,2026-04-28,1800.0,100.0
2,ITC,CALL,2026-04-28,305.0,92.42
3,ICICIBANK,CALL,2026-04-28,1330.0,92.29
4,ASIANPAINT,CALL,2026-04-28,2520.0,88.48
5,ASIANPAINT,CALL,2026-04-28,2500.0,70.68
6,FINNIFTY,CALL,2026-04-28,26450.0,60.15
7,FINNIFTY,CALL,2026-04-28,26400.0,58.13
8,SBILIFE,CALL,2026-04-28,1840.0,54.77
9,FINNIFTY,CALL,2026-04-28,26350.0,51.59
10,CANBK,CALL,2026-04-28,142.0,48.76
11,TMPV,CALL,2026-04-28,360.0,43.9
12,APLAPOLLO,CALL,2026-04-28,2020.0,42.95
13,KAYNES,CALL,2026-04-28,4300.0,36.69
14,FINNIFTY,CALL,2026-04-28,26300.0,32.75
15,MUTHOOTFIN,CALL,2026-04-28,3550.0,27.73
16,KFINTECH,CALL,2026-04-28,970.0,27.39
17,MANAPPURAM,CALL,2026-04-28,292.5,14.55
18,APLAPOLLO,CALL,2026-04-28,2000.0,8.69
19,KAYNES,CALL,2026-04-28,4250.0,1.27
20,TRENT,CALL,2026-04-28,4350.0,0.0
