rank,ticker,type,expiry,strike,strength
1,TCS,PUT,2026-04-28,2500.0,100.0
2,LTM,PUT,2026-04-28,4350.0,70.02
3,BAJAJ-AUTO,PUT,2026-04-28,9500.0,61.32
4,POWERINDIA,PUT,2026-04-28,28500.0,58.61
5,UNIONBANK,PUT,2026-04-28,177.5,55.84
6,CAMS,PUT,2026-04-28,700.0,47.73
7,ICICIPRULI,PUT,2026-04-28,530.0,37.11
8,HAVELLS,PUT,2026-04-28,1230.0,32.85
9,POWERGRID,PUT,2026-04-28,302.5,31.92
10,HDFCLIFE,PUT,2026-04-28,595.0,23.6
11,TATAELXSI,PUT,2026-04-28,4200.0,21.11
12,ABCAPITAL,PUT,2026-04-28,320.0,18.73
13,LTM,PUT,2026-04-28,4500.0,17.11
14,ADANIPORTS,PUT,2026-04-28,1480.0,15.72
15,TCS,PUT,2026-04-28,2480.0,14.71
16,RVNL,PUT,2026-04-28,275.0,14.65
17,YESBANK,PUT,2026-04-28,18.0,2.97
18,SWIGGY,PUT,2026-04-28,265.0,1.34
19,CAMS,PUT,2026-04-28,710.0,0.77
20,SAIL,PUT,2026-04-28,162.5,0.0
