rank,ticker,type,expiry,strike,strength
1,INFY,CALL,2026-04-28,1290.0,100.0
2,NAUKRI,CALL,2026-04-28,1000.0,79.24
3,TCS,CALL,2026-04-28,2480.0,57.76
4,JIOFIN,CALL,2026-04-28,240.0,45.34
5,HDFCBANK,CALL,2026-04-28,800.0,42.91
6,INDIGO,CALL,2026-04-28,4500.0,31.0
7,RBLBANK,CALL,2026-04-28,320.0,22.04
8,LTM,CALL,2026-04-28,4450.0,20.57
9,INDUSTOWER,CALL,2026-04-28,445.0,18.64
10,SWIGGY,CALL,2026-04-28,270.0,15.99
11,HCLTECH,CALL,2026-04-28,1410.0,14.24
12,HINDPETRO,CALL,2026-04-28,355.0,14.16
13,TECHM,CALL,2026-04-28,1460.0,13.58
14,ETERNAL,CALL,2026-04-28,240.0,12.32
15,MPHASIS,CALL,2026-04-28,2340.0,11.53
16,GRASIM,CALL,2026-04-28,2740.0,10.47
17,PNBHOUSING,CALL,2026-04-28,860.0,10.44
18,GODREJCP,CALL,2026-04-28,1070.0,9.45
19,GMRAIRPORT,CALL,2026-04-28,96.0,3.15
20,BIOCON,CALL,2026-04-28,350.0,0.0
