rank,ticker,type,expiry,strike,strength
1,INFY,PUT,2026-04-28,1270.0,100.0
2,NAUKRI,PUT,2026-04-28,980.0,73.74
3,MARUTI,PUT,2026-04-28,13000.0,73.54
4,HDFCBANK,PUT,2026-04-28,790.0,59.18
5,JIOFIN,PUT,2026-04-28,235.0,56.16
6,INDIGO,PUT,2026-04-28,4400.0,36.25
7,RBLBANK,PUT,2026-04-28,310.0,35.69
8,LTM,PUT,2026-04-28,4350.0,33.18
9,PNBHOUSING,PUT,2026-04-28,840.0,32.05
10,ETERNAL,PUT,2026-04-28,235.0,27.14
11,GODREJCP,PUT,2026-04-28,1050.0,25.24
12,SWIGGY,PUT,2026-04-28,260.0,23.52
13,HINDPETRO,PUT,2026-04-28,345.0,22.48
14,HCLTECH,PUT,2026-04-28,1390.0,20.29
15,GRASIM,PUT,2026-04-28,2700.0,19.56
16,MPHASIS,PUT,2026-04-28,2300.0,19.51
17,INDUSTOWER,PUT,2026-04-28,435.0,15.44
18,TECHM,PUT,2026-04-28,1420.0,12.45
19,YESBANK,PUT,2026-04-28,18.0,4.59
20,KPITTECH,PUT,2026-04-28,700.0,0.0
